method_a,method_b,n_folds,mean_a,mean_b,delta,ci_low,ci_high,cohen_d,t_stat,t_p,wilcoxon_p,sig_p<.05,sig_bonferroni
base,fisher,5,0.581,0.4171,0.1639,0.1542,0.1715,15.598,34.879,<1e-4,0.062,True,True
base,anova_f,5,0.581,0.4166,0.1643,0.154,0.1726,14.523,32.474,<1e-4,0.062,True,True
base,mutual_info,5,0.581,0.4994,0.0816,0.0741,0.0878,9.169,20.502,<1e-4,0.062,True,True
base,lasso_l1,5,0.581,0.4995,0.0815,0.0729,0.0889,8.037,17.97,<1e-4,0.062,True,True
base,variance_thresh,5,0.581,0.581,0.0,0.0,0.0,0.0,,1.000,1.000,False,False
base,rfe_xgb,5,0.581,0.4174,0.1636,0.1584,0.1688,25.253,56.468,<1e-4,0.062,True,True
base,combined,5,0.581,0.4994,0.0816,0.0741,0.0878,9.169,20.502,<1e-4,0.062,True,True
base,llm:gpt-oss-20b,5,0.581,0.5806,0.0004,-0.0021,0.0028,0.123,0.275,0.797,0.688,False,False
base,llm:llama-3.1-8b,5,0.581,0.5328,0.0482,0.0425,0.0544,6.36,14.221,1.4e-04,0.062,True,True
fisher,anova_f,5,0.4171,0.4166,0.0005,-0.0002,0.0011,0.503,1.124,0.324,0.375,False,False
fisher,mutual_info,5,0.4171,0.4994,-0.0822,-0.0947,-0.0684,-4.946,-11.059,3.8e-04,0.062,True,True
fisher,lasso_l1,5,0.4171,0.4995,-0.0824,-0.0882,-0.0768,-11.034,-24.672,<1e-4,0.062,True,True
fisher,variance_thresh,5,0.4171,0.581,-0.1639,-0.1715,-0.1542,-15.598,-34.879,<1e-4,0.062,True,True
fisher,rfe_xgb,5,0.4171,0.4174,-0.0003,-0.0039,0.0043,-0.058,-0.13,0.903,0.812,False,False
fisher,combined,5,0.4171,0.4994,-0.0822,-0.0947,-0.0684,-4.946,-11.059,3.8e-04,0.062,True,True
fisher,llm:gpt-oss-20b,5,0.4171,0.5806,-0.1635,-0.1707,-0.1522,-13.469,-30.118,<1e-4,0.062,True,True
fisher,llm:llama-3.1-8b,5,0.4171,0.5328,-0.1156,-0.1234,-0.1017,-7.431,-16.617,<1e-4,0.062,True,True
anova_f,mutual_info,5,0.4166,0.4994,-0.0827,-0.0958,-0.0683,-4.728,-10.572,4.5e-04,0.062,True,True
anova_f,lasso_l1,5,0.4166,0.4995,-0.0829,-0.0891,-0.0767,-10.338,-23.116,<1e-4,0.062,True,True
anova_f,variance_thresh,5,0.4166,0.581,-0.1643,-0.1726,-0.154,-14.523,-32.474,<1e-4,0.062,True,True
anova_f,rfe_xgb,5,0.4166,0.4174,-0.0008,-0.0046,0.0042,-0.132,-0.295,0.783,0.625,False,False
anova_f,combined,5,0.4166,0.4994,-0.0827,-0.0958,-0.0683,-4.728,-10.572,4.5e-04,0.062,True,True
anova_f,llm:gpt-oss-20b,5,0.4166,0.5806,-0.164,-0.1717,-0.1519,-12.708,-28.415,<1e-4,0.062,True,True
anova_f,llm:llama-3.1-8b,5,0.4166,0.5328,-0.1161,-0.1243,-0.1014,-7.134,-15.951,<1e-4,0.062,True,True
mutual_info,lasso_l1,5,0.4994,0.4995,-0.0002,-0.0131,0.0115,-0.01,-0.022,0.984,1.000,False,False
mutual_info,variance_thresh,5,0.4994,0.581,-0.0816,-0.0878,-0.0741,-9.169,-20.502,<1e-4,0.062,True,True
mutual_info,rfe_xgb,5,0.4994,0.4174,0.0819,0.0714,0.0927,5.893,13.177,1.9e-04,0.062,True,True
mutual_info,combined,5,0.4994,0.4994,0.0,0.0,0.0,0.0,,1.000,1.000,False,False
